#,Question,Example Answer,Confidence (High/Med/Low),Owner,Last Updated,Notes
1,What is this application called internally?,,,,,
2,Which environment is it in (Prod/Dev/QA/DR)?,,,,,
3,Which business unit or department owns this application?,,,,,
4,How critical is this application to business operations (High/Medium/Low)?,,,,,
5,Who is accountable for the business outcome if this app fails?,,,,,
6,Who maintains the app day-to-day or handles incidents?,,,,,
7,Which support queue or team handles this app?,,,,,
8,What is the software vendor or provider name?,,,,,
9,Who do we contact for vendor support (email/phone)?,,,,,
10,"Is it on-prem, VM, SaaS, container, or hybrid?",,,,,
11,"Which OS, database, or runtime platform does it use?",,,,,
12,"What other apps, services, or databases does it depend on?",,,,,
13,"How do users authenticate (AD, local, custom)?",,,,,
14,"Does this application use a certificate? If yes, where is it stored and when does it expire?",,,,,
15,"Is this application behind a load balancer (Azure LB, F5, NSG, etc.)?",,,,,
16,Is this application public-facing (accessible from the internet)?,,,,,
17,Where is the installer or image stored?,,,,,
18,"How is it licensed (per core, per user, subscription)?",,,,,
19,Where is the license or agreement reference stored?,,,,,
20,When does the vendor support contract expire?,,,,,
21,Is the vendor still active and reachable?,,,,,
22,Is this version still officially supported?,,,,,
23,What business process does this application serve?,,,,,
24,What happens if this app becomes unavailable?,,,,,
25,What are the main issues or risks with this app?,,,,,
26,"Why are we migrating this app (cost, performance, compliance)?",,,,,
27,"Which Azure service fits best (VM, App Service, SQL MI)?",,,,,
28,Do we have updated documentation for this app?,,,,,
29,Has ownership been verified recently?,,,,,
30,Are all dependencies identified and documented?,,,,,
31,Can this app be reinstalled from known media?,,,,,
32,What is its readiness status (Green/Yellow/Red)?,,,,,
33,What type of data does it handle (Public/Internal/Confidential)?,,,,,
34,"Which compliance frameworks apply (PCI, HIPAA, SOX)?",,,,,
35,Does it follow enterprise tagging standards?,,,,,
36,What is its backup or DR tier level?,,,,,
37,How many years of data retention are required?,,,,,
38,Which cost center or charge code funds this app?,,,,,
39,What will it cost monthly in Azure?,,,,,
40,What does it currently cost to host?,,,,,
41,"Can it be optimized, consolidated, or retired?",,,,,
42,What is its migration priority (High/Med/Low)?,,,,,
43,How many servers/VMs are part of this app?,,,,,
44,Which databases are associated with this app?,,,,,
45,Is there an existing monitoring dashboard or link?,,,,,
46,How often does it generate incidents (monthly avg)?,,,,,
47,Are there legacy or unsupported components?,,,,,
48,"What’s the rationalization plan (Rehost, Refactor, etc.)?",,,,,
49,Has leadership approved migration or disposition?,,,,,
50,When was it last validated as still needed?,,,,,
51,"What is the long-term plan (SaaS replacement, retire)?",,,,,
52,When should it be re-evaluated (6mo/12mo)?,,,,,
53,Any additional notes or observations.,,,,,
54,When was this information last reviewed?,,,,,
55,Who last verified or updated this record?,,,,,
