Current_Environment_Value,Resource_Count,Proposed_Normalized_Value,Notes,Decision_Status
Production,8049,Production,Already correct,✓ Decided
Citrix,5404,???,Need decision: Is this Production infrastructure?,⚠ NEEDS DECISION
PCI-Lwr-Env-Data-App,4675,Production,PCI is compliance scope not environment,✓ Decided
ARC,2399,???,Need decision: Are ARC ESU servers Production?,⚠ NEEDS DECISION
Dev,2085,Development,Standardize to Development,✓ Decided
CUS Production,1718,Production,Remove region prefix,✓ Decided
Production Data App,1252,Production,Remove tier designation,✓ Decided
QA,1140,Test,Or keep as QA - standardize naming,⚠ NEEDS DECISION
CUS Citrix,1097,???,Need decision: Same as Citrix?,⚠ NEEDS DECISION
Transit,760,Infrastructure,Network hub not environment,✓ Decided
Sandbox,459,Sandbox,Already correct,✓ Decided
DMZ,429,Infrastructure,Network zone not environment,✓ Decided
MC-Remote-Deposit-Capture ProdPCI,362,Production,Remove app name and PCI,✓ Decided
CUS-Transit,229,Infrastructure,Network hub not environment,✓ Decided
DMZ CUS,133,Infrastructure,Network zone not environment,✓ Decided
Citrix-Offshore,???,???,Offshore Citrix - same as Citrix?,⚠ NEEDS DECISION
CUS Citrix-Offshore Offshore,???,???,Offshore Citrix variation,⚠ NEEDS DECISION
