Current_Tag_Value,Should_Be,Notes,Decision_Needed
Production,Production,Correct - no changes,No
CUS Production,Production,Remove region (already in Location field),No
Production Data App,Production,Remove tier designation,No
MC-Remote-Deposit-Capture ProdPCI,Production,Remove app name and PCI designation,No
PCI-Lwr-Env-Data-App,Production,Remove PCI/tier info,No
Dev,Development,Correct - standardize to Development,No
QA,Test,Or keep as QA - decide on standard,Yes - Test or QA?
Sandbox,Sandbox,Correct - no changes,No
Transit,Infrastructure,NOT an environment - network hub,No
CUS Transit,Infrastructure,NOT an environment - network hub,No
CUS-Transit,Infrastructure,NOT an environment - network hub,No
DMZ,Infrastructure,NOT an environment - network zone,No
DMZ CUS,Infrastructure,NOT an environment - network zone,No
Citrix,Production,Is this Prod infrastructure or separate?,Yes - Production or Infrastructure?
CUS Citrix,Production,Is this Prod infrastructure or separate?,Yes - Production or Infrastructure?
Citrix-Offshore,Production,Is this Prod infrastructure or separate?,Yes - Production or Infrastructure?
ARC,On-Prem for ESU Licensing,What lifecycle are ARC ESU servers?,Yes - Production or Mixed?
